id,submission_time,vote_number,question_id,message,image
2,1621181980,0,2,IDK lol,
4,1621185202,1,7,Yoooo,
5,1621194002,4,5,Hellohehe,
7,1621194021,4,5,Yo,
9,1621364922,1,1,"YO, THiS is a completely new answer",
10,1621365004,0,1,ANSWER NUMBER TWO,
11,1621453336,2,4,This is test answer,
13,1621613644,0,5,dsfasdfsa,
15,1621645126,2,8,Maybe somethhing similar to this?,github_PNG40.png
16,1621669415,0,8,sadfasdfa,
17,1621670681,0,8,sadfadf,github_PNG40.png
18,1621670901,0,8,sfsdfasafdas,
19,1621670919,0,8,asdfasdfa,github_PNG40.png
20,1621671635,0,8,dsfgsfg,
21,1621671647,0,8,fdgsdfgs,github_PNG40.png
22,1621674853,0,7,test,72021slon.png
23,1621764184,0,11,It is python!!!,11_rxezjyf4ojx41.png
24,1621764244,8,10,yes!!!,
25,1621764586,0,10,I have similar mode. It can be that!,
